Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
7888;39863;Shanghai Pengxin Group Co., Ltd in New Zealand;673;Shanghai Pengxin Group Co., Ltd;Parent company;;;;;;
7889;39864;Fiagril Participações S.A.;673;Shanghai Pengxin Group Co., Ltd;Parent company;;;;;;
7890;39865;Shanghai Pengxin Group Co., Ltd in Bolivia (Plurinational State of);673;Shanghai Pengxin Group Co., Ltd;Parent company;;;;;;
7893;39868;Green Fuel Limited in Zambia;3670;Macdom Investments;Parent company;;;;;;
7894;39868;Green Fuel Limited in Zambia;2268;Agricultural Rural Development Authority of Zimbabwe (ARDA);Parent company;;;;;;
7895;39869;Green Fuel Limited in Zimbabwe;3670;Macdom Investments;Parent company;;90.0;;;;
7896;39869;Green Fuel Limited in Zimbabwe;2268;Agricultural Rural Development Authority of Zimbabwe (ARDA);Parent company;;10.0;;;;
7897;39870;Tompkins Conservation in Argentina;3933;Tompkins Conservation;Parent company;;;;;;
7898;39871;Tompkins Conservation in Chile;3933;Tompkins Conservation;Parent company;;;;;;
7899;39872;D1 Oils Ghana Pty Limited in Zambia;170;NEOS Resources PLC;Parent company;;;;;;
7901;39874;D1 Oils Ghana Pty Limited in Malawi;170;NEOS Resources PLC;Parent company;;;;;;
7902;39875;Unknown (Agri SA, in Angola, 39875);931;Agri SA;Parent company;;;;;;
7903;39876;Unknown (Agri SA, in Libya, 39876);931;Agri SA;Parent company;;;;;;
7904;39877;Unknown (Suntime International Techno-Economic Cooperation (Group) Co., Ltd., in Russian Federation, 39877);220;Suntime International Techno-Economic Cooperation (Group) Co., Ltd.;Parent company;;;;;;
7905;39878;Unknown (Suntime International Techno-Economic Cooperation (Group) Co., Ltd., in Kazakhstan, 39878);220;Suntime International Techno-Economic Cooperation (Group) Co., Ltd.;Parent company;;;;;;
7906;39879;Unknown (Government of the United Arab Emirates, in Philippines, 39879);3414;Government of the United Arab Emirates;Parent company;;;;;;
7907;39880;Unknown (Government of Jordan, in Sudan, 39880);1422;Government of Jordan;Parent company;;;;;;
7908;39881;Unknown (Lonrho Plc, in Angola, 39881);935;Lonrho Plc;Parent company;;100.0;;;;
7909;39882;Unknown (Lonrho Plc, in Malawi, 39882);935;Lonrho Plc;Parent company;;;;;;
7910;39883;Unknown (Lonrho Plc, in Mali, 39883);935;Lonrho Plc;Parent company;;;;;;
7914;39886;Unknown (Sithe Global, in Madagascar, 39886);1202;Sithe Global;Parent company;;;;;;
7915;39887;Unknown (Sithe Global, in United Republic of Tanzania, 39887);1202;Sithe Global;Parent company;;;;;;
7917;39889;Sabina in Uganda;3303;Qalaa Holdings;Parent company;;;;;;
7918;39890;Sabina in Kenya;3303;Qalaa Holdings;Parent company;;100.0;;;;
7920;39892;Unknown (Farm Lands of Guinea Limited, in Sierra Leone, 39892);1138;Farm Lands of Guinea Limited;Parent company;;;;;;
7921;39893;Unknown (Farm Lands of Guinea Limited, in Mali, 39893);1138;Farm Lands of Guinea Limited;Parent company;;;;;;
7922;39894;Unknown (Agro Energy Développement, in Mali, 39894);1238;Agro Energy Développement;Parent company;;100.0;;;;
7923;39895;Unknown (Agro Energy Développement, in Mali, 39895);1238;Agro Energy Développement;Parent company;;;;;;
7924;39896;Unknown (Agro Energy Développement, in Burkina Faso, 39896);1238;Agro Energy Développement;Parent company;;;;;;
7925;39897;Unknown (Agro Energy Développement, in Guinea, 39897);1238;Agro Energy Développement;Parent company;;;;;;
7926;39898;Unknown (Eco-Carbone, in Niger, 39898);1826;Eco-Carbone;Parent company;;;;;;
7928;39900;Unknown (Ovidiu Tender, in Senegal, 39900);2691;Ovidiu Tender;Parent company;;100.0;;;;
7929;39901;Unknown (Ovidiu Tender, in Gambia, 39901);2691;Ovidiu Tender;Parent company;;100.0;;;;
7930;39902;Pharos Miro Agriculture Fund in Sudan;867;Miro Holdings International;Parent company;;;;;;
7931;39902;Pharos Miro Agriculture Fund in Sudan;1725;Pharos Financial Group;Parent company;;;;;;
7932;39903;Pharos Miro Agriculture Fund in United Republic of Tanzania;867;Miro Holdings International;Parent company;;;;;;
7933;39903;Pharos Miro Agriculture Fund in United Republic of Tanzania;1725;Pharos Financial Group;Parent company;;;;;;
7934;39904;Unknown (Bio Massive, in Ethiopia, 39904);1063;Bio Massive;Parent company;;;;;;
7935;39905;Unknown (Bio Massive, in United Republic of Tanzania, 39905);1063;Bio Massive;Parent company;;;;;;
7936;39906;unknown (BLD Plantation Bhd.) in Cambodia;3150;BLD Plantation Bhd.;Parent company;;;;;;
7937;39907;unknown (BLD Plantation Bhd.) in Malaysia;3150;BLD Plantation Bhd.;Parent company;;;;;;
7938;39908;Glencore Grain Ukraine in Argentina;651;Glencore Xstrata PLC;Parent company;;;;;;
7939;39909;Glencore Grain Ukraine in Ukraine;651;Glencore Xstrata PLC;Parent company;;;;;;
7941;39910;AngloGold Ashanti Kilo in Brazil;4409;OKIMO (Offices de Mines d’Or de Kilo Moto);Parent company;;;;;;
7943;39911;AngloGold Ashanti Kilo in Colombia;4409;OKIMO (Offices de Mines d’Or de Kilo Moto);Parent company;;;;;;
7946;39913;Unknown (ZTE Corporation, in Sudan, 39913);989;ZTE Corporation;Parent company;;;;;;
7947;39914;Unknown (ZTE Corporation, in Democratic Republic of the Congo, 39914);989;ZTE Corporation;Parent company;;;;;;
7948;39915;Unknown (Al Dahra Agricultural Company, in Sudan, 39915);346;Al Dahra Agricultural Company LLC;Parent company;;;;;;
7949;39916;Unknown (Al Dahra Agricultural Company, in Pakistan, 39916);346;Al Dahra Agricultural Company LLC;Parent company;;;;;;
7950;39917;EmVest Limpopo in Swaziland;1267;Emvest Asset Management;Parent company;;100.0;;;;
7952;39919;SC Bardeau Holding Romania SRL in Madagascar;3449;Bardeau Holding Ges.m.b.H;Parent company;;;;;;
7953;39920;SC Bardeau Holding Romania SRL in Romania;3449;Bardeau Holding Ges.m.b.H;Parent company;;;;;;
7956;39922;Oji Lao Plantation Forest Co. Ltd. in Madagascar;278;Oji Paper Co Ltd;Parent company;;;;;;
7957;39922;Oji Lao Plantation Forest Co. Ltd. in Madagascar;2051;Government of Laos;Parent company;;;;;;
7958;39923;Valinor Public Ltd. in Russian Federation;3528;UkrLandFarming PLC;Parent company;;;;;;
7961;39926;Wilbahi Investments Limited (WIL)  in Germany;3686;Wilbahi Investments Limited (WIL);Parent company;;;;;;
7962;39927;Unknown (Viridesco, in Zambia, 39927);1264;Viridesco;Parent company;;100.0;;;;
7963;39928;Unknown (Viridesco, in Mozambique, 39928);1264;Viridesco;Parent company;;;;;;
7966;39931;Nam Tan Uyen Joint Stock Corporation in Cambodia;117;Vietnam Rubber Group;Parent company;;;;;;
7967;39931;Nam Tan Uyen Joint Stock Corporation in Cambodia;3342;Phuoc Hoa Rubber Joint Stock Company;Parent company;;;;;;
7968;39931;Nam Tan Uyen Joint Stock Corporation in Cambodia;4498;Rubber Real Estate Construction & Investment JS Company;Parent company;;;;;;
7969;39931;Nam Tan Uyen Joint Stock Corporation in Cambodia;4499;Rubber Basic Construction Company;Parent company;;;;;;
7970;39932;Nam Tan Uyen Joint Stock Corporation in Viet Nam;3342;Phuoc Hoa Rubber Joint Stock Company;Parent company;;;;;;
7971;39932;Nam Tan Uyen Joint Stock Corporation in Viet Nam;4498;Rubber Real Estate Construction & Investment JS Company;Parent company;;;;;;
7972;39932;Nam Tan Uyen Joint Stock Corporation in Viet Nam;4499;Rubber Basic Construction Company;Parent company;;;;;;
7973;39932;Nam Tan Uyen Joint Stock Corporation in Viet Nam;117;Vietnam Rubber Group;Parent company;;;;;;
7974;39933;LONG DUC INVESTMENT CO., LTD. in India;526;Sojitz Group;Parent company;;;;;;
7975;39933;LONG DUC INVESTMENT CO., LTD. in India;4218;Daiwa House Industry Co., Ltd;Parent company;;;;;;
7976;39933;LONG DUC INVESTMENT CO., LTD. in India;4219;Kobelco Eco-Solutions Co.,;Parent company;;;;;;
7977;39933;LONG DUC INVESTMENT CO., LTD. in India;4221;Dong Nai Import-Export Processing Agriculture products and Foods Co. (Donafoods);Parent company;;;;;;
7978;39934;LONG DUC INVESTMENT CO., LTD. in Viet Nam;526;Sojitz Group;Parent company;;50.2;;;;
7979;39934;LONG DUC INVESTMENT CO., LTD. in Viet Nam;4218;Daiwa House Industry Co., Ltd;Parent company;;39.9;;;;
7980;39934;LONG DUC INVESTMENT CO., LTD. in Viet Nam;4219;Kobelco Eco-Solutions Co.,;Parent company;;9.9;;;;
7981;39934;LONG DUC INVESTMENT CO., LTD. in Viet Nam;4221;Dong Nai Import-Export Processing Agriculture products and Foods Co. (Donafoods);Parent company;;12.0;;;;
7982;39935;Quifel Agribusiness Ltd in Sierra Leone;938;Quifel Holdings;Parent company;;;;;;
7983;39936;Quifel Agribusiness Ltd in Angola;938;Quifel Holdings;Parent company;;;;;;
7984;39937;Unknown (Libyan African Investment Portfolio, in Liberia, 39937);956;Libyan African Investment Portfolio;Parent company;;;;;;
7985;39938;Unknown (Libyan African Investment Portfolio, in Benin, 39938);956;Libyan African Investment Portfolio;Parent company;;;;;;
7990;39943;PLT INDUSTRIAL ZONE INVESTMENT JOINT STOCK COMPANY in Cambodia;4566;PLT INDUSTRIAL ZONE INVESTMENT JOINT STOCK COMPANY;Parent company;;;;;;
7991;39944;Cresud SA. in Bolivia (Plurinational State of);3027;Cresud S.A.;Parent company;;;;;;
7992;39945;Cresud SA. in Argentina;3027;Cresud S.A.;Parent company;;;;;;
7993;39946;Dai Nam Joint Stock Company in India;4502;Dai Nam Joint Stock Company;Parent company;;;;;;
7994;39947;Kariki Group in Kenya;4891;Andrew Fernandes;Parent company;;;;;;
7995;39947;Kariki Group in Kenya;1760;Agri-Vie;Parent company;;;;;;
7996;39947;Kariki Group in Kenya;4890;Richard Fernandes;Parent company;;;;;;
7997;39948;Kariki Group in Rwanda;1760;Agri-Vie;Parent company;;;;;;
7998;39948;Kariki Group in Rwanda;4890;Richard Fernandes;Parent company;;;;;;
7999;39948;Kariki Group in Rwanda;4891;Andrew Fernandes;Parent company;;;;;;
8000;39949;Unknown (Bedford Biofuels, in Zambia, 39949);1141;Bedford Biofuels;Parent company;;;;;;
8001;39950;Unknown (Bedford Biofuels, in Kenya, 39950);1141;Bedford Biofuels;Parent company;;100.0;;;;
8002;39951;Kisumu Molasses Factory in Mozambique;1149;Energem Resources Inc;Parent company;;;;;;
8003;39951;Kisumu Molasses Factory in Mozambique;2018;Spectre International;Parent company;;;;;;
8004;39952;Kisumu Molasses Factory in Kenya;1149;Energem Resources Inc;Parent company;;55.0;;;;
8005;39952;Kisumu Molasses Factory in Kenya;2018;Spectre International;Parent company;;45.0;;;;
8007;39954;Unknown (Green Power Holding AG, in Kenya, 39954);1151;Green Power Holding AG;Parent company;;;;;;
8009;39956;Clenergen Guyana Inc. in Guyana;576;Clenergen Corporation;Parent company;;;;;;
8010;39957;Solvent Extractors’ Association of India in Myanmar;337;Solvent Extractors’ Association (SEA) of India;Parent company;;;;;;
8011;39958;Solvent Extractors’ Association of India in Paraguay;337;Solvent Extractors’ Association (SEA) of India;Parent company;;;;;;
8012;39959;Forest Returns in Brazil;515;Forest Returns;Parent company;;;;;;
8013;39960;Forest Returns in Suriname;515;Forest Returns;Parent company;;;;;;
8014;39961;Forest Returns in Costa Rica;515;Forest Returns;Parent company;;;;;;
8021;39965;Unknown (Government of the United Arab Emirates, in Pakistan, 39965);3414;Government of the United Arab Emirates;Parent company;;;;;;
8022;39966;Unknown (Government Republic of China, in Senegal, 39966);1253;Government Republic of China;Parent company;;;;;;
8023;39967;Unknown (Widam Food Company Q.S.C., in Pakistan, 39967);230;Widam Food Company Q.S.C.;Parent company;;;;;;
8024;39968;Unknown (Widam Food Company Q.S.C., in Iraq, 39968);230;Widam Food Company Q.S.C.;Parent company;;;;;;
8025;39969;Unknown (Agromino A/S, in Russian Federation, 39969);4970;Agromino A/S;Parent company;;;;;;
8026;39970;Unknown (Agromino A/S, in Ukraine, 39970);4970;Agromino A/S;Parent company;;;;;;
8027;39971;Unknown (Qatar Investment Authority, in Viet Nam, 39971);376;Qatar Investment Authority;Parent company;;;;;;
8028;39972;Unknown (Qatar Investment Authority, in Belarus, 39972);376;Qatar Investment Authority;Parent company;;;;;;
8030;36934;Unknown (AngloGold Ashanti, in Brazil, 36934);727;AngloGold Ashanti;Parent company;;;;;;
8031;39258;Unknown (Korea Land and Housing Corporation, in Viet Nam, 39258);4463;Korea Land and Housing Corporation;Parent company;;;;;;
8033;36740;Unknown (Ernesto Correa, in Uruguay, 36740);2186;Ernesto Correa;Parent company;;;;;;
8034;39485;Unknown (Anzere SA., in Argentina, 39485);4724;Anzere SA.;Parent company;;;;;;
8036;38686;Unknown (Misiones government , in Argentina, 38686);3598;Misiones government;Parent company;;;;;;
8037;38686;Unknown (Misiones government , in Argentina, 38686);4207;Fundación Frontera Verde;Parent company;;;;;;
8038;37993;Unknown (Paraíso Wood Holding Limited, in Colombia, 37993);3963;Paraíso Wood Holding Limited;Parent company;;;;;;
8042;39106;Unknown (Dunshinhenie LLC, in Mongolia, 39106);4257;Dunshinhenie LLC;Parent company;;;;;;
8043;36378;Unknown (ECI Exploration & Mining, in Brazil, 36378);1787;ECI Exploration & Mining;Parent company;;100.0;;;;
8044;36378;Unknown (ECI Exploration & Mining, in Brazil, 36378);1789;MGM Mato Grosso metal Ltd.;Parent company;;100.0;;;;
8045;37806;Unknown (Fundación Paz Global, in Paraguay, 37806);2772;Fundación Paz Global;Parent company;;100.0;;;;
8046;36222;Unknown (Horizonte Minerals Plc., in Brazil, 36222);4010;Horizonte Minerals Plc.;Parent company;;;;;;
8047;36391;Unknown (Aurora Gold Corp, in Brazil, 36391);1810;Aurora Gold Corp;Parent company;;100.0;;;;
8048;37250;Unknown (GoGold Resources Inc., in Mexico, 37250);4037;GoGold Resources Inc.;Parent company;;;;;;
8050;39154;Unknown (Fazenda Santo Antonio, in Angola, 39154);4319;Fazenda Santo Antonio;Parent company;;;;;;
8055;36502;Unknown (Savia Perú, in Peru, 36502);1945;Savia Perú;Parent company;;;;;;
8056;37811;Ajeenkya D Y Patil Group in Guyana;2773;Ajeenkya D Y Patil Group;Parent company;;100.0;;;;
8057;38696;Unknown (Unknown (Chinese Investors), in Sierra Leone, 38696);3625;Unknown (Chinese Investors);Parent company;;100.0;;;;
8058;36521;Unknown (Pacific Exploration & Production Corp, in Peru, 36521);4028;Meta Petroleum Corp;Parent company;;;;;;
8064;36389;Unknown (Castillian Resources Corp., in Brazil, 36389);1808;Castillian Resources Corp.;Parent company;;100.0;;;;
8065;39507;Unknown (Unknown (horticulture investor), in Ethiopia, 39507);4747;Unknown (horticulture investor);Parent company;;;;;;
8067;39758;Unknown (unknown Chinese investors, in Sudan, 39758);4977;unknown Chinese investors;Parent company;;;;;;
8070;36688;Unknown (Gold Port Resources Ltd., in Guyana, 36688);3996;Gold Port Resources Ltd.;Parent company;;;;;;
8075;36970;Unknown (Compañia Argentina de Tierras, in Paraguay, 36970);2298;Compañia Argentina de Tierras;Parent company;;;;;;
8076;36375;Unknown (Brazil Resources Inc., in Brazil, 36375);4013;Brazil Resources Inc.;Parent company;;;;;;
8077;36393;Unknown (I Am Gold Corporation, in Brazil, 36393);1812;I Am Gold Corporation;Parent company;;;;;;
8079;39255;Unknown ( Chuan Gia Bao Company, in Viet Nam, 39255);4460;Chuan Gia Bao Company;Parent company;;;;;;
8081;39221;Unknown (Diego Rivera, in Nicaragua, 39221);4400;Diego Rivera;Parent company;;;;;;
8084;35512;Unknown (Pluspetrol, in Peru, 35512);819;Pluspetrol;Parent company;;;;;;
8088;36425;Unknown (Trevali  Mining Corporation, in Peru, 36425);4015;Trevali  Mining Corporation;Parent company;;;;;;
8089;34833;Unknown (HBC INVESTMENT AND SERVICES JOINT STOCK COMPANY, in Cambodia, 34833);4571;Hoa Binh Construction (HBC) Group JSC;Parent company;;;;;;
8090;38520;Unknown (Adecoagro S.A., in Argentina, 38520);662;Adecoagro S.A.;Parent company;;;;;;
8091;38172;Unknown (China National Petroleum Corporation - CNPC, in Peru, 38172);3038;China National Petroleum Corporation - CNPC;Parent company;;;;;;
8092;37254;Unknown (Corex Gold Co., in Mexico, 37254);3022;Corex Gold Co.;Parent company;;;;;;
8093;36442;Unknown (Pan American Silver Co., in Argentina, 36442);2482;Minera Triton Argentina SA;Parent company;;;;;;
8094;38616;Unknown (Life Vision Properties, in Honduras, 38616);3487;Life Vision Properties;Parent company;;;;;;
8096;36527;Unknown (Gran Tierra Energy Inc., in Peru, 36527);1977;Gran Tierra Energy Inc.;Parent company;;;;;;
8097;37614;Unknown (Green Valley Agro Plc, in Ethiopia, 37614);2666;Green Valley Agro Plc;Parent company;;;;;;
8098;38593;Unknown (Los Poquiteros SA, in Argentina, 38593);3447;Los Poquiteros SA;Parent company;;;;;;
8099;37251;Unknown (Aurion Resources Ltd., in Mexico, 37251);2471;Aurion Resources Ltd.;Parent company;;100.0;;;;
8100;36414;Unknown (Zambezi Ranching and Cropping, in Zambia, 36414);1840;Zambezi Ranching and Cropping;Parent company;;;;;;
8101;36414;Unknown (Zambezi Ranching and Cropping, in Zambia, 36414);1599;Zambeef Products PLC (Zambeef);Parent company;;;;;;
8102;34861;Unknown (PLT INDUSTRIAL ZONE INVESTMENT JOINT STOCK COMPANY, in Viet Nam, 34861);4566;PLT INDUSTRIAL ZONE INVESTMENT JOINT STOCK COMPANY;Parent company;;;;;;
8103;35467;Unknown (CA Goldfields Inc, in Nicaragua, 35467);4000;CA Goldfields Inc;Parent company;;;;;;
8104;36385;Unknown (Lara Exploration, in Brazil, 36385);1800;Lara Exploration;Parent company;;100.0;;;;
8105;37986;Unknown (La Paz Wood Holding Limited, in Colombia, 37986);3959;La Paz Wood Holding Limited;Parent company;Shares/Equity;;;;;La Paz Wood Holding Limited fue creada entre 2010 y marzo de 2011 (fuente 1) con sede en las Islas Vírgenes Británicas y es desde 2012, junto a otras 9 empresas, subsidiarias de la compañía The Forest Company (Fuente 5). La asesoria y la representación legal de esta empresa, (La Paz Wood Holding) estuvo a cargo de la firma de Abogados Contexto Legal.  
8106;35470;Unknown (Infinito Gold Ltd, in Nicaragua, 35470);4002;Infinito Gold Ltd;Parent company;;;;;;
8107;35017;Unknown (Lao Mithsamphan Farm, in Lao People's Democratic Republic, 35017);269;Lao Mithsamphan Farm;Parent company;;;;;;
8108;39763;Unknown (Unknown investor (Saudi Arabia Om Doum), in Sudan, 39763);4983;Unknown investor (Saudi Arabia Om Doum);Parent company;;;;;;
8111;39107;Unknown (Zanadu Coal Mongolia LLC, in Mongolia, 39107);4258;Zanadu Coal Mongolia LLC;Parent company;;;;;;
8112;34905;Real Green (Cambodia) Co. Ltd;131;Real Green Co. Ltd.;Parent company;;;;;;
8113;39759;Unknown (Unknown investor (Egypt), in Sudan, 39759);4978;Unknown investor (Egypt);Parent company;;;;;;
8114;39761;Unknown (Unknown investor (Saudi Arabia), in Sudan, 39761);4982;Unknown investor (Saudi Arabia);Parent company;;;;;;
8115;36374;Unknown (Crusader Resources, in Brazil, 36374);1783;Crusader Resources;Parent company;;100.0;;;;
8116;36479;Unknown (Bear Creek Mining Corporation, in Peru, 36479);2888;Bear Creek Mining Corporation;Parent company;;100.0;;;;
8117;37983;Unknown (Las Ventas Timberland Holdings Limited, in Colombia, 37983);3956;Las Ventas Timberland Holdings Limited;Parent company;;;;;;
8118;39340;Unknown (Paladin Agropecuaria SRL, in Argentina, 39340);4550;Paladin Agropecuaria SRL;Parent company;;;;;;
8119;37299;Unknown (B2 Gold Co., in Nicaragua, 37299);2456;B2 Gold Co.;Parent company;;65.0;;;;
8120;35376;Bema Agri BV Sucursal Argentina;3925;Bema Agri BV;Parent company;;;;;;
8121;35300;Unknown ( Dai Nam Joint Stock Company, in Viet Nam, 35300);4502;Dai Nam Joint Stock Company;Parent company;;;;;;
8124;35845;Unknown (Government of Turkey, in Madagascar, 35845);2506;Government of Turkey;Parent company;;;;;;
8125;38784;Unknown (The Green Rich Co., Ltd. , in Cambodia, 38784);3744;The Green Rich Co., Ltd.;Parent company;;;;;;
8126;36430;Unknown (Panoro Minerals Ltd., in Peru, 36430);1855;Panoro Minerals Ltd.;Parent company;;100.0;;;;
8127;36531;Unknown (Petrominerales, in Peru, 36531);1980;Petrominerales;Parent company;;;;;;
8128;36907;Unknown (Petrolatina Energy Plc., in Guatemala, 36907);2264;Petrolatina Energy Plc.;Parent company;;;;;;
8129;37241;Unknown (Glencairm Gold Corporation, in Costa Rica, 37241);2462;Glencairm Gold Corporation;Parent company;;;;;;
8130;37241;Unknown (Glencairm Gold Corporation, in Costa Rica, 37241);2463;CANARC Resources Corp.;Parent company;;;;;;
8131;39052;Unknown (Agropecuaria Andorrana SA., in Argentina, 39052);4192;Agropecuaria Andorrana SA.;Parent company;;;;;;
8133;39555;Unknown (Atta Miguel Gerala, in Argentina, 39555);4786;Atta Miguel Gerala;Parent company;;;;;;
8134;35606;Unknown (Samoa Fiber Holdings Inc., in Peru, 35606);929;Samoa Fiber Holdings Inc.;Parent company;;;;;;
8135;36390;Unknown (Adriana Resources Inc., in Brazil, 36390);1809;Adriana Resources Inc.;Parent company;;100.0;;;;
8136;36475;Unknown (SK Energy, in Peru, 36475);4025;SK Energy;Parent company;;;;;;
8137;38033;SB Agrícola Ltda in Brazil;2943;SB Agrícola Ltda;Parent company;;100.0;;;;
8138;35581;Unknown (  Sintal Agriculture Plc, in Ukraine, 35581);3866;Sintal Agriculture Plc;Parent company;;;;;;
8139;39304;Unknown (Shun Far Land Development Co., Ltd, in Viet Nam, 39304);4511;Shun Far Land Development Co., Ltd;Parent company;;;;;;
8140;37978;Unknown (La Esperanza Timberland Holding Limited, in Colombia, 37978);3954;La Esperanza Timberland Holding Limited;Parent company;;;;;;"The Forest Company opera en Colombia a través de la subsidaria MS Holdings Limited, compuesta por 9 empresas operadoras, creadas en Islas Vírgenes británicas. 
La Esperanza Timberland Holding Limited fue creada entre 2010 y marzo de 2011 (fuente 1) con sede en las Islas Vírgenes Británicas y es desde 2012, junto a otras 9 empresas, subsidiarias de la compañía The Forest Company (Fuente 5). La asesoria y la representación legar de esta empresa, (La Esperanza Timberland Holding) estuvo a cargo de la firma de Abogados Contexto Legal."
8141;36749;Unknown (Sun Yeun Corporation, in Liberia, 36749);2197;Sun Yeun Corporation;Parent company;;;;;;
8142;36749;Unknown (Sun Yeun Corporation, in Liberia, 36749);2198;Junhao Timber;Parent company;;;;;;
8143;39374;Unknown (East Jebel Awliya Development Company (SUNDUS), in Sudan, 39374);4599;East Jebel Awliya Development Company (SUNDUS);Parent company;;;;;;
8144;39374;Unknown (East Jebel Awliya Development Company (SUNDUS), in Sudan, 39374);4600;SUFOUF Company for Investment and Agriculture Services;Parent company;;;;;;
8145;38595;Unknown (KOICA, in Mongolia, 38595);3467;KOICA;Parent company;;;;;;
8146;36473;Unknown (Fortuna Silver Mines Inc, in Peru, 36473);1909;Fortuna Silver Mines Inc;Parent company;;;;;;
8147;35596;Unknown (Odin Energy Santa Marta Corporation S.A. , in Colombia, 35596);918;Odin Energy Santa Marta Corporation S.A.;Parent company;;;;;;
8152;35483;Selva Maestra;3889;Grupo SEM;Parent company;;;;;;
8153;39027;EcoPlanet Bamboo Central America;4170;EcoPlanet Bamboo Group, LLC;Parent company;;;;;;
8154;39189;Unknown (Bioenergy Corporation, in Paraguay, 39189);4365;Bioenergy Corporation;Parent company;;;;;;
8155;38993;Unknown (HKND Group Management Limited, in Nicaragua, 38993);4128;HKND Group Management Limited;Parent company;;;;;;
8156;37848;Unknown (Taniyama Siam Company Ltd., in Thailand, 37848);2803;Taniyama Siam Company Ltd.;Parent company;;;;;;
8157;37848;Unknown (Taniyama Siam Company Ltd., in Thailand, 37848);343;Government of Thailand;Parent company;;;;;;
8158;38239;Strong Energy S.A.;3105;Heilongjiang State Farms Beidahuang Group;Parent company;;100.0;;;;
8159;37819;Fondomonte South America SA;2778;Almarai Co.;Parent company;;;;;;
8160;36429;Unknown (MMG Limited, in Peru, 36429);4018;Guoxin International Investment Co. Ltd;Parent company;;;;;;
8161;36429;Unknown (MMG Limited, in Peru, 36429);4019;CITIC Metal Co. Ltd;Parent company;;;;;;
8163;36235;Unknown (Ecometals Limited, in Brazil, 36235);4009;Ecometals Limited;Parent company;;;;;;
8164;35355;Hidden Lake S.A.;3986;Joseph Lewis;Parent company;;;;;;
8165;35387;Unknown (Chongqing Grain Group, in Brazil, 35387);678;Chongqing Grain Group;Parent company;;;;;;
8166;39119;Unknown (Civil Engineering Construction Corporation No. 5 (CIENCO5) , in Viet Nam, 39119);4271;Civil Engineering Construction Corporation No. 5 (CIENCO5);Parent company;;;;;;
8167;36506;Unknown (Faulkner Exploration, in Peru, 36506);1949;Faulkner Exploration;Parent company;;;;;;
8169;34904;Unknown (Cambo Victor Investing and Developing Co. Ltd., in Cambodia, 34904);130;Cambo Victor Investing and Developing Co. Ltd.;Parent company;;;;;;
8170;36427;Unknown (Peruvian Precius Metals Corp., in Peru, 36427);4016;Peruvian Precius Metals Corp.;Parent company;;;;;;
8171;38732;Unknown (  Wilbahi Investments Limited (WIL) , in Nigeria, 38732);3686;Wilbahi Investments Limited (WIL);Parent company;;;;;;
8176;36472;Unknown (Karmin Exploration Inc., in Peru, 36472);1908;Karmin Exploration Inc.;Parent company;;;;;;
8177;39556;Unknown (Gerala Mario Ernesto, in Argentina, 39556);4787;Gerala Mario Ernesto;Parent company;;;;;;
8178;37990;Unknown (Canaguay Wood Holding Limited, in Colombia, 37990);3961;Canaguay Wood Holding Limited;Parent company;;;;;;
8179;39529;Unknown (Villa Oliva Rice SA., in Paraguay, 39529);4774;Villa Oliva Rice SA.;Parent company;;;;;;
8180;36376;Unknown (Magellan Minerals Ltd, in Brazil, 36376);1785;Magellan Minerals Ltd;Parent company;;;;;;
8182;36384;Unknown (Jaguar Mining Inc., in Brazil, 36384);1799;Jaguar Mining Inc.;Parent company;;100.0;;;;
8183;39124;Unknown (Pacific Land Company Vietnam Ltd. , in Viet Nam, 39124);4279;Pacific Land Company Vietnam Ltd.;Parent company;;;;;;
8184;38017;Unknown (Bruno Mauricio Varela Marin, in Argentina, 38017);2939;Bruno Mauricio Varela Marin;Parent company;;;;;;
8186;37718;Unknown (Shandong Gold Group, in Argentina, 37718);2729;Shandong Gold Group;Parent company;;;;;;
8187;37985;Unknown (La Libertad Wood Holdings Limited, in Colombia, 37985);3958;La Libertad Wood Holdings Limited;Parent company;;;;;;
8188;36230;Unknown (Cancana Resources Corp, in Brazil, 36230);1634;Cancana Resources Corp;Parent company;;;;;;
8189;36503;Unknown (Baron Oil PLC., in Peru, 36503);4027;Baron Oil PLC.;Parent company;;;;;;
8190;36492;Unknown (Anglo American Plc., in Peru, 36492);1929;Anglo American Plc.;Parent company;;;;;;
8191;36525;Unknown (Talisman Energy Inc., in Peru, 36525);1982;Talisman Energy Inc.;Parent company;;;;;;
8192;36533;Unknown (Talisman Energy Inc., in Peru, 36533);1982;Talisman Energy Inc.;Parent company;;;;;;
8209;35511;Unknown (Repsol, in Peru, 35511);740;Repsol;Parent company;;;;;;
8210;35440;Unknown (Repsol, in Peru, 35440);740;Repsol;Parent company;;;;;;
8211;39383;Unknown (Unknown (Dutch and other investors), in Ethiopia, 39383);4604;Unknown (Dutch and other investors);Parent company;;;;;;
8212;39028;Nicaforest Plantations SA;4171;Nicaforestal SA.;Parent company;;;;;;
8213;36371;Unknown (ALCOA Inc., in Brazil, 36371);1780;ALCOA Inc.;Parent company;;;;;;
8214;37765;Unknown (Shanta Estates Ltd, in United Republic of Tanzania, 37765);2750;Shanta Estates Ltd;Parent company;;;;;;
